순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
336,연구개발특구진흥재단,2023 대전 과학캠프,"대전광역시, 대전광역시교육청, 대덕연구개발특구기관장협의회, 대전관광공사",대덕특구,"대덕특구 출연연 일대, 만인산 자연휴양림",기타,#과학캠프,2023-08-01,2023-08-03
337,연구개발특구진흥재단,과학을 알면 세상이 재미있어,대전관광공사,대덕특구,IBS 과학문화센터 2층 강당,기타,#세상,2023-08-02,2023-08-02
338,연구개발특구진흥재단,고경력 과학기술인 소통역량강화 프로그램,대전광역시 유성구,대덕특구,유성구청 대회의실(4층),기타,#소통역량강화,2023-07-28,2023-07-28
339,연구개발특구진흥재단,제9회 유성다과상 과학캠프 사이언스투어,유성구,대덕특구,한국전자통신연구원,기타,#유성다과상,2023-08-03,2023-08-04
340,연구개발특구진흥재단,제9회 유성다과상 과학캠프 사이언스파티,유성구,대덕특구,"별똥별과학마당(죽동), 노은3동 행정복지센터(지족동), 작은내수변공원 꿈샘(원신흥동), 유성구마을공동체지원센터(어은동)",기타,#유성다과상,2023-07-31,2023-08-03
341,연구개발특구진흥재단,사이언스 시네톡 - 앤트맨과 와스프,유성구,대덕특구,유성구청소년수련관 누리홀 (1층),기타,#사이언스 시네톡,2023-08-05,2023-08-05
342,연구개발특구진흥재단,2023년 대한면역학회 국제학술대회(KAI International Meeting 2023),대한면역학회,대덕특구,송도컨벤시아,"BT,기타",#국제학술대회,2023-09-13,2023-09-16
343,연구개발특구진흥재단,제7회 KPEC 감염병 대응 세미나,한국생명공학연구원 국가전임상시험지원센터,대덕특구,한국생명공학연구원 대전본원 코빅동 2층 대회의실(1202호),"BT,기타",#KPEC #감염병 대응 세미나,2023-07-27,2023-07-27
344,연구개발특구진흥재단,제10회 첨단바이오의약품 개발 및 분석기술 워크숍,한국표준과학연구원,과학벨트,청주시 오창읍 162 한국기초과학지원연구원 204동 대회의실,"BT,기타",#첨단바이오의약품,2023-08-31,2023-08-31
345,연구개발특구진흥재단,7월 스파클 클럽 개최 : 항우연 1호 연구소기업 방문,대덕넷,대덕특구,항우연 나르마 본사 ,ST,#연구개발특구 #전문성 #과학기술 #기술사업화 #연구소기업 #우주 #항공,2023-07-28,2023-07-28
346,연구개발특구진흥재단,민물고기 특별전『담수魚지교』,국립중앙과학관,대덕특구, 국립중앙과학관 창의나래관 1층(기획전시실),기타,#민물고기,2023-08-01,2023-10-22
347,연구개발특구진흥재단,나의 과학관 답사기 온·오프라인 챌린지,국립중앙과학관,대덕특구,국립중앙과학관,기타,#과학관 답사기,2023-07-25,2023-08-31
348,연구개발특구진흥재단,2023 누들대전 페스티벌,대전일보사,대덕특구,대전역 소제동 일원,기타,#누들대전 #페스티벌,2023-08-11,2023-08-13
349,연구개발특구진흥재단, 2023년 금요일에 과학터치,"한국연구재단, 한국과학관협회",대덕특구,국립중앙과학관 과학교육관 1층 정약용홀,기타,#과학터치,2023-07-28,2023-07-28
350,연구개발특구진흥재단,2023 금요일에 과학터치,"한국연구재단, 한국과학관협회",대덕특구,국립중앙과학관 과학교육관 1층 정약용홀,기타,#과학터치,2023-08-25,2023-09-08
351,연구개발특구진흥재단,2023 금요일에 과학터치,"한국연구재단, 한국과학관협회",대덕특구,국립중앙과학관 과학교육관 1층 정약용홀,기타,#과학터치,2023-09-22,2023-09-22
352,연구개발특구진흥재단,2023 금요일에 과학터치,"한국연구재단, 한국과학관협회",대덕특구,국립중앙과학관 과학교육관 1층 정약용홀,기타,#과학터치,2023-10-20,2023-11-03
353,연구개발특구진흥재단,2023 금요일에 과학터치,"한국연구재단, 한국과학관협회",대덕특구,국립중앙과학관 과학교육관 1층 정약용홀,기타,#과학터치,2023-11-17,2023-11-24
354,연구개발특구진흥재단,2023 국립부산과학관 혁신초대전,국립부산과학관,부산특구,국립부산과학관 1층 구내식당 앞,기타,#국립부산과학관 #혁신초대전,2023-07-21,2023-08-20
355,연구개발특구진흥재단,2023 글로벌 헬스케어 위크,"BEXCO, (재)부산테크노파크",부산특구,벡스코 1전시장 3홀,"BT,기타",#글로벌 #헬스케어,2023-08-17,2023-08-19
356,연구개발특구진흥재단,2023 K-ICT WEEK in BUSAN,"부산정보산업진흥원, 정보통신산업진흥원",부산특구,BEXCO,"IT,기타",#K-ICT,2023-09-06,2023-09-08
357,연구개발특구진흥재단 대구특구본부,대구특구 출연연 사업화유망기술설명회,연구개발특구진흥재단 대구연구개발특구본부,대구특구,대구 인터불고 엑스코 아이리스홀,"IT,ET",#사업화유망기술설명회,2023-07-25,2023-07-25
358,연구개발특구진흥재단,대구테크비즈센터 입주기업 1차 라운드테이블,연구개발특구진흥재단 대구특구본부,대구특구,대구테크비즈센터 3층 303호 다목적회의실,기타,#입주기업,2023-07-25,2023-07-25
359,연구개발특구진흥재단,2023 한국 슈퍼컴퓨팅 컨퍼런스,"국가슈퍼컴퓨팅본부, 한국계산과학공학회",대덕특구,더케이호텔,"IT,기타",#슈퍼컴퓨팅 #컨퍼런스,2023-08-21,2023-08-23
360,연구개발특구진흥재단,테크비즈 코리아 2023(TECH-BIZ KOREA 2023),전자신문,대덕특구,대전컨벤션센터 그랜드볼룸,"IT,ET,기타",#테크비즈,2023-09-25,2023-09-26
361,연구개발특구진흥재단,제21회 INNOPOLIS AI 세미나,연구개발특구진흥재단,대덕특구,온라인세미나,IT,#INNOPOLIS #AI,2023-07-26,2023-07-26
362,연구개발특구진흥재단,2023 호주 더 힐스 아카데미 오케스트라 내한공연 「한 여름 과학관 음악회」,국립중앙과학관,대덕특구,국립중앙과학관 사이언스홀 ,기타,#과학관 #음악회,2023-08-08,2023-08-08
363,연구개발특구진흥재단,2023년 사이언스 스테이션 여름방학 로봇 만들기,한국과학기술연구원,대덕특구,상월곡역 지하 2층 강연장,기타,#사이언스 #스테이션,2023-07-31,2023-08-21
364,연구개발특구진흥재단,2023년도 고등학생 대상 스마트수과학실 교육(위성관제 및 운용),한국항공우주연구원,대덕특구,대전 한국항공우주연구원,기타,#스마트 #수과학실,2023-08-02,2023-08-04
365,연구개발특구진흥재단,2023년 국제저작권기술 콘퍼런스(ICOTEC 2023),"한국저작권위원회, 한국저작권보호원",대덕특구,포시즌스 호텔 서울 그랜드볼룸,"IT,기타",#국제저작권기술 #콘퍼런스,2023-11-01,2023-11-01
366,연구개발특구진흥재단,2023년 중·고등학생 대상 미리가는 LMO교실,국가연구안전관리본부,과학벨트,한국생명공학연구원 오창분원 중앙동 1층 대회의실,기타,#LMO #교실,2023-07-27,2023-07-28
367,연구개발특구진흥재단,2023년 제3회 마스월드포럼,"(재)대전테크노파크, 한국무인이동체연구조합",대덕특구,대전컨벤션센터,"IT,ST,기타",#마스월드포럼,2023-08-04,2023-08-04
368,연구개발특구진흥재단,2023년 경북청년 창업교육,(사)경상북도청년CEO협회,대구특구,영남대학교 인문대 강당,기타,#교육 #세미나#창업,2023-07-28,2023-07-28
369,연구개발특구진흥재단,2023 로보월드 유망로봇 IR 특별관 참여기업 모집,"한국로봇산업진흥원, 와이앤아처",대구특구,일산 KINTEX 1~3홀,"IT,기타",#과학기술 #로봇 #로보월드,2023-10-11,2023-10-14
370,연구개발특구진흥재단,「2023 청년 인재유입 정착지원 사업 」대구 한 달 살이 프로그램 '대굴대굴 대굴 온나 1기',대구북구도시재생지원센터,대구특구, 대구광역시 북구 산격 1동(연암서당골) 일대,기타,#청년 #도시재생 #정착지원,2023-08-28,2023-09-22
371,연구개발특구진흥재단,제22회 대청호마라톤대회,"대전광역시 대덕구체육회, 대전광역시육상연맹",대덕특구,대청공원,기타,#대청호 #마라톤 #대회,2023-10-15,2023-10-15
372,연구개발특구진흥재단,제4회 딥테크 혁신성장 포럼,연구개발특구진흥재단,대덕특구,D-SQUARE 973,기타,#딥테크 #혁신성장,2023-08-03,2023-08-03
373,연구개발특구진흥재단,체험형 사이언스 데이,유성구,대덕특구,유성종합스포츠센터 복합경기장(1층),기타,#사이언스 데이,2023-08-27,2023-08-27
374,연구개발특구진흥재단,2023 대전 국제와인 EXPO,대전관광공사,대덕특구,"대전컨벤션센터 제 1-2전시장, 한빛탑 일원, 엑스포 다리, 엑스포 시민 광장 등",기타,#국제와인 #EXPO,2023-09-04,2023-09-10
375,연구개발특구진흥재단,2023 한 여름밤의 과학관 (야간개장),서울시립과학관,대덕특구,서울시립과학관,기타,#과학관,2023-08-04,2023-08-06
376,연구개발특구진흥재단,"특별전 연계특강 “유전자 변형 어류 기술의 역사, 현황 그리고 전망”",국립중앙과학관,대덕특구,국립중앙과학관,기타,#유전자 #변형 #어류 #유전자,2023-08-01,2023-08-06
377,연구개발특구진흥재단,2023년 8월 자연탐사 체험프로그램,국립중앙과학관,대덕특구,충남 예산 가야산청양 지천 등,기타,#자연탐사,2023-08-19,2023-08-20
378,연구개발특구진흥재단,과학관 전문인력양성 교육「과학관 전문과정」교육생 모집,국립중앙과학관,대덕특구,국립중앙과학관 과학캠프관,기타,#과학관 #전문인력양성,2023-09-05,2023-09-07
379,연구개발특구진흥재단,제59기 전통과학대학,국립중앙과학관,대덕특구,국립중앙과학관 세미나실,기타,#전통과학대학,2023-08-01,2023-12-14
380,연구개발특구진흥재단,미리 가 본 과학관,국립중앙과학관,대덕특구,국립중앙과학관,기타,#과학관,2023-07-20,2023-08-31
381,연구개발특구진흥재단,2023 대전세종 관광기업 협업 프로젝트 공모,대전관광공사,대덕특구,온라인,기타,#관광기업,2023-08-01,2023-08-11
382,연구개발특구진흥재단,"FMI's 4th Biohealth Innovation Competition & Congress, The 4th BCC in 2023",재단법인 미래의학연구재단,대덕특구,"노보텔 엠베서더 동대문 호텔, 그랜드볼룸","BT,기타",#Biohealth #Innovation #Competition,2023-08-18,2023-08-18
383,연구개발특구진흥재단,2023년 제5회 한국마이크로비옴학회 심포지엄, 한국마이크로비옴학회,대덕특구,제주 휘닉스 스톤홀,"BT,기타",#마이크로비옴 #학회,2023-09-07,2023-09-08
384,연구개발특구진흥재단,제10차 아시아·오세아니아 생리학 총회 국제학술대회(FAOPS 2023),"FAOPS, 대한생리학회",대구특구,대구 EXCO,"BT,기타",#생리학 #총회,2023-11-01,2023-11-04
385,연구개발특구진흥재단,22nd Human Proteome Organization (HUPO 2023),세계단백체학회,부산특구,부산 BEXCO,"BT,기타",#Human #Proteome,2023-09-17,2023-09-20
386,연구개발특구진흥재단,제5회 대사질환조직항상성 연구센터 심포지엄,대사질환조직항상성 연구센터,대덕특구,롯데리조트 부여,"BT,기타",#대사질환조직항상성,2023-08-24,2023-08-26
387,연구개발특구진흥재단,2023 경북 바이오산업 엑스포,경북테크노파크,과학벨트,포항 체인지업 그라운드 및 포스코 국제관,"BT,기타",#바이오산업 #엑스포,2023-09-07,2023-09-09
388,연구개발특구진흥재단,제32회 한국유전체학회 정기학술대회,한국유전체학회,대덕특구,가톨릭대학교 성의교정,"BT,기타",#한국유전체학회,2023-10-12,2023-10-14
389,연구개발특구진흥재단,2023 전국한의학학술대회 (중부권역),대한한의학회,대덕특구,대전 컨벤션센터 2층 그랜드볼룸,기타,#한의학 #학술대회,2023-08-06,2023-09-02
390,연구개발특구진흥재단,d·camp와 함께 하는 리모트워크 #대구,은행권청년창업재단,대구특구,DASH 코워킹스페이스,기타,#디캠프 #리모트워크 #투자유치 #멘토링,2023-08-17,2023-08-17
391,연구개발특구진흥재단,The 21st AsiaTEFL International Conference (AsiaTEFL 2023),대전광역시,대덕특구,대전컨벤션센터,기타,#AsiaTEFL,2023-08-17,2023-08-20
392,연구개발특구진흥재단,PACIFIC GRAPHICS 2023(아태컴퓨터 그래픽스컨퍼런스 2023),Asia Graphics 학회,대덕특구,대전컨벤션센터,기타,#컴퓨터 #그래픽 #컨퍼런스,2023-10-10,2023-10-13
393,연구개발특구진흥재단,2023 G-Science Festival 제 5회 금천과학축제,"금천구, 금천사이언스큐브",대덕특구,금천구청 광장 및 썬큰광장 등 금천구청 일대,기타,#금천과학축제,2023-08-31,2023-09-02
394,연구개발특구진흥재단,대전역마을 도시재생 거리문화축제,대전광역시,대덕특구,대전역마을 도시재생 활성화지역 / 한의약특화거리,기타,#도시재생 #거리문화축제,2023-08-11,2023-08-17
395,연구개발특구진흥재단,대전 서구힐링 아트페스티벌,"서구축제추진위원회, 서구문화원, 한국예총 대전광역시연합회",대덕특구,샘머리 보라매공원(서구청 앞) 일원,기타,#아트페스티벌,2023-10-13,2023-10-15
396,전북연구개발특구본부 기술사업화팀,17회 전북과학축전,재단법인 전북테크노파크,전북특구,전라북도 어린이창의체험관 일대,기타,#과학기술 #과학축전 #체험 프로그램 #경연대회,2023-09-08,2023-09-14
397,강소특구육성2팀,2023년 이노폴리스캠퍼스 사업 딥테크 세미나,금오공과대학교,과학벨트,온라인시청,IT,#연구개발특구 #강소특구 #딥테크 #스타트업 #예비창업자 #기술사업화,2023-08-11,2023-08-11
398,연구개발특구진흥재단,화폐박물관 여름방학 행사 화폐에 대한 모든 것,화폐박물관,대덕특구,화폐박물관,기타,#화폐박물관 #화폐 #행사,2023-08-01,2023-08-20
399,연구개발특구진흥재단,제9회 대전혁신기술교류회,"대전광역시, 대전일자리경제진흥원",대덕특구,D-유니콘라운지(대전 신세계백화점 엑스포타워 20층),기타,#대전혁신기술교류회,2023-08-08,2023-08-08
400,연구개발특구진흥재단,2023 한국디스플레이산업전시회,한국디스플레이산업협회,대덕특구,코엑스,"IT,기타",#디스플레이산업,2023-08-16,2023-08-18
401,연구개발특구진흥재단,세계 제약바이오건강기능 산업 전시회,인포마마켓한국(주),대덕특구,코엑스,"BT,기타",#세계 #제약 #바이오,2023-08-30,2023-09-01
402,연구개발특구진흥재단,대한민국 디지털 미래혁신대전 2023,"지디넷코리아, 한국소프트웨어산업협회, SaaS추진협의회, 디지털헬스케어연합포럼",대덕특구,코엑스,"IT,기타",#미래혁신대전,2023-09-25,2023-09-27
403,연구개발특구진흥재단,2023 대한민국ESG친환경대전,"한국환경산업기술원, 메쎄이상",대덕특구,코엑스,기타,#ESG 친환경 대전,2023-10-11,2023-10-13
404,연구개발특구진흥재단,"제11회 국제첨단소재(세라믹,탄소,복합재료) 및 융복합기술전","한국생산기술연구원, 한국세라믹연합회, 한국세라믹학회, 한국산업마케팅연구원, 신소재경제신문",대덕특구,코엑스,"CT,ET,NT,기타",#국제첨단소재 #세라믹 #탄소 #복합재료,2023-10-18,2023-10-20
405,연구개발특구진흥재단,코리아스마트그리드엑스포 2023,"한국스마트그리드협회, 코엑스",대덕특구,코엑스,"IT,기타",#스마트그리드 #엑스포,2023-10-18,2023-10-20
406,강소특구육성1,홍릉 H클럽 기술교류 컨퍼런스 개최,연구개발특구진흥재단,과학벨트,서울바이오허브 컨퍼런스 A홀 ,BT,#기술교류 #컨퍼런스,2023-08-30,2023-08-30
407,광주연구개발특구 기획경영실,2023 대한민국 기후환경 에너지대전(KEET 2023),"광주광역시, 전라남도, 김대중컨벤션센터, 코트라, 한국에너지공단",광주특구,광주광역시 김대중컨벤션센터,"IT,BT,CT,ET,NT,ST,기타",#기후환경 #에너지대전,2023-09-06,2023-09-08
408,광주연구개발특구 기획경영실,AI TECH+ 2023 (Artificial Intelligence Technology Plus Show 2023),"인공지능산업융합사업단, 대한무역투자진흥공사, 김대중컨벤션센터",광주특구,광주 김대중컨벤션센터,"IT,BT,CT,ET,NT,ST",#AI #TECH #Artificial,2023-08-30,2023-09-01
409,광주연구개발특구 기획경영실,제4회 오아시스 해커톤 대회,광주정보문화산업진흥원,광주특구,홀리데이인 광주 호텔,IT,#오아시스 #해커톤,2023-08-30,2023-08-31
410,광주연구개발특구 기획경영실,2023 광주창업페스티벌 KT 오픈이노베이션 2차 밋업,"광주광역시, KT, 광주창조경제혁신센터",광주특구,미정,기타,#오픈이노베이션,2023-08-25,2023-08-25
411,광주연구개발특구 기획경영실,2023년 지식재산 전략전문가 양성과정 수강생 모집,광주/전남 지식재산전문인력양성센터,광주특구,담양 드몽드 호텔 세미나실,기타,#지식재산 #전략전문가,2023-08-21,2023-08-23
412,광주연구개발특구 기획경영실,산업전환 공동훈련센터「탄소중립 실현을 위한 폐플라스틱 자원화와 바이오매스 생산기술」 세미나 개최,"산업전환 공동훈련센터,전남녹색환경지원센터,여수시·여수산단공동발전협의회",광주특구,전남대학교 여수캠퍼스 산학연구관 105호 합동강의실,기타,#산업전환 #공동훈련센터#탄소중립 ,2023-08-24,2023-08-24
413,광주연구개발특구 기획경영실,2023년 G-유니콘 육성프로그램 최종선정 경진대회 개최,광주창조경제혁신센터 ,광주특구, 김대중컨벤션센터 별관 3층 K-스튜디오,기타,#G-유니콘 #유니콘,2023-08-11,2023-08-11
414,광주연구개발특구 기획경영실,2023년도 제1회 미래직업 드림 멘토링 특강,국립광주과학관,광주특구,국립광주과학관 상상홀,기타,#미래직업 드림 #멘토링,2023-08-26,2023-08-26
415,광주연구개발특구 기획경영실,(4기 / 2 - 4인 가족 모집)북구청과 함께하는 가족 별밤캠프,국립광주과학관,광주특구,국립광주과학관 일대,기타,#가족 #별밤캠프,2023-08-19,2023-08-20
416,광주연구개발특구 기획경영실, 2023 여름방학 특별주간 'Summer Play',국립광주과학관,광주특구,국립광주과학관 일원,기타,#Summer Play,2023-07-21,2023-08-27
417,광주연구개발특구 기획경영실,2023년 물 과학 체험장,국립광주과학관,광주특구,국립광주과학관 정문 분수대 앞,기타,#물 #과학,2023-07-21,2023-08-27
418,광주연구개발특구 기획경영실,안녕 엔트리 2차,국립광주과학관 ,광주특구,국립광주과학관 메타버스 및 유튜브,기타,#엔트리,2023-08-25,2023-09-03
419,광주연구개발특구 기획경영실, 2023 여름방학 특별전 ' 렛츠플레이',국립광주과학관,광주특구,국립광주과학관 기획전시실,"IT,BT,CT,ET,NT,ST",#특별전,2023-07-25,2023-08-27
420,연구개발특구진흥재단,코리아 라이프 사이언스 위크 2023,(주)경연전람,대덕특구,코엑스,"IT,기타",#사이언스,2023-11-14,2023-11-16
421,연구개발특구진흥재단,한국전자전,한국전자정보통신산업진흥회,대덕특구,코엑스,"IT,ET,기타",#한국전자전,2023-10-24,2023-10-27
422,연구개발특구진흥재단,"대한민국 소프트웨어 대전, 소프트웨이브 2023","과학기술정보통신부, (주)전자신문사",대덕특구,코엑스,"IT,ET,기타",#소프트웨어,2023-11-29,2023-12-01
423,연구개발특구진흥재단,2023 글로벌 헬스케어 위크,"벡스코, 부산테크노파크",부산특구,벡스코,"BT,기타",#헬스케어 위크,2023-08-17,2023-08-19
424,연구개발특구진흥재단,제23회 국제정보디스플레이 학술대회,한국정보디스플레이학회,부산특구,벡스코,"IT,ET,기타",#국제정보디스플레이,2023-08-21,2023-08-25
425,연구개발특구진흥재단,2023 한국뇌신경과학회 국제컨퍼런스,한국뇌신경과학회,부산특구,벡스코,"BT,기타",#뇌신경과학회,2023-09-06,2023-09-08
426,연구개발특구진흥재단,제44회 전국학생과학발명품경진대회(작품전시),국립중앙과학관,대덕특구,국립중앙과학관,기타,#전국학생과학발명품경진대회,2023-08-14,2023-08-15
427,연구개발특구진흥재단,생활과학교실(상시운영),충남대학교 산학협력단,대덕특구,"행복복지센터, 지역아동센터",기타,#생활과학교실,2023-08-01,2023-08-31
428,연구개발특구진흥재단,2023 대구특구 미래모빌리티(자율주행) 육성 포럼,"연구개발특구진흥재단, 대구경북과학기술원",대구특구,DGIST 연구행정동(R1) 2층 국제회의장,"IT,BT,CT,ET,NT,ST,기타",#미래모빌리티 #자율주행 #기술세미나 #포럼,2023-08-17,2023-08-17
429,연구개발특구진흥재단,2023 대구웹툰캠퍼스 「웹툰 체험교실 5차 교육」 참가자 모집,(재)대구디지털혁신진흥원,대구특구,경일대학교 모션트랙킹센터,CT,#전문성 #문화콘텐츠 #교육 #웹툰,2023-08-28,2023-08-28
430,연구개발특구진흥재단,2023년 데이터 유통거래 특강 및 수요 공급기업 매칭데이(3차) ,(재)대구디지털혁신진흥원,대구특구,대구디지털혁신진흥원 1층 대강당,IT,#전문성 #과학기술 #교육 #ICT,2023-08-16,2023-08-16
431,연구개발특구진흥재단,"「파워풀 대구, 런데이」 명사특강(정호승)",대구광역시,대구특구,대구신세계 8층 문화홀,CT,#전문성 #문화 #교육 #정호승 #대구,2023-09-01,2023-09-01
432,연구개발특구진흥재단,KPEC 감염병 대응 우선순위 발표회,국가전임상시험지원센터,대덕특구, 한국생명공학연구원 대전본원 본관동 대회의장,"BT,기타",#KPEC 감염병 대응,2023-08-18,2023-08-18
433,연구개발특구진흥재단,제 10회 첨단바이오의약품 개발 및 분석기술 워크숍(질량분석기반 면역원성 당사슬 정량 분석),아시아-태평양 당분석 연구교육센터,대덕특구,충남대학교 분석과학기술대학원 공학 2호관 469호,"BT,기타",#첨단바이오의약품 #워크숍,2023-09-07,2023-09-07
434,연구개발특구진흥재단,국립대구과학관 제8회 전국청소년과학신문공모전 개최,"국립대구과학관, 대구경북과학기술원",대구특구,국립대구과학관,"IT,BT,CT,ET,NT,ST,기타",#전문성#과학기술 #교육 #과학관 #과학신문,2023-09-11,2023-09-14
435,연구개발특구진흥재단,제10회 첨단바이오의약품 개발 및 분석기술 워크숍(경기도경제과학진흥원 실습 교육),한국표준과학연구원,대덕특구,경기바이오센터 1층 이노카페회의실/첨단분석실,"BT,기타",#첨단바이오의약품 #워크숍,2023-09-01,2023-09-01
436,연구개발특구진흥재단,반도체대전 2023,한국반도체산업협회,대덕특구,코엑스,"IT,기타",#반도체대전,2023-10-25,2023-10-27
437,연구개발특구진흥재단, 2023 서울국제발명전시회,한국발명진흥회,대덕특구,코엑스,"IT,NT,기타",#서울국제발명전시회,2023-11-01,2023-11-04
438,연구개발특구진흥재단,대전엑스포 93 : 과학 신화가 현실로,대전광역시,대덕특구,서울역사박물관(1층 로비전시실),기타,#과학 신화,2023-08-08,2023-11-05
439,연구개발특구진흥재단,2023 대한민국 미래모빌리티엑스포,"엑스코, 지능형자동차부품진흥원, KOTRA",대구특구,EXCO,"IT,기타",#미래모빌리티엑스포,2023-10-19,2023-10-21
440,연구개발특구진흥재단,2023 대한민국 ICT융합엑스포,"엑스코, 전자신문",대구특구,EXCO,"IT,기타",#ICT융합엑스포,2023-11-08,2023-11-10
441,연구개발특구진흥재단,2023 대구국제기계산업대전,EXCO,대덕특구,EXCO,"IT,NT,기타",#국제기계산업대전,2023-11-14,2023-11-17
442,연구개발특구진흥재단,2023 차세대 반도체 패키징 장비재료 산업전,"(재)수원컨벤션센터, (주)전자신문사, (주)제이엑스포",대덕특구,수원컨벤션센터,"IT,기타",#차세대 반도체 #장비재료,2023-08-30,2023-09-01
443,연구개발특구진흥재단, 2023년 대덕특구 미래혁신성장 연구회 사업설명회,"과학기술정보통신부, 연구개발특구진흥재단",대덕특구,대전 신세계 사이언스 컴플렉스 센터 18층 1804호,기타,#미래혁신성장,2023-08-22,2023-08-22
444,연구개발특구진흥재단,2023 국제 투자유치 포럼,광주경제자유구역청,광주특구,광주김대중컨벤션센터,"IT,BT,ET",#광주경제자유구역청 #김대중컨벤션센터 #2023 국제 투자유치 포럼 #글로벌 #빅테크 #의료 #바이오 #모빌리티 #에너지,2023-09-14,2023-09-14
445,연구개발특구진흥재단,2023 찾아가는 야외공연 여름밤 콘서트,유성구,대덕특구,관평동930광장,기타,#여름밤 #콘서트,2023-08-11,2023-08-11
446,연구개발특구진흥재단,2023 찾아가는 야외공연 여름밤 콘서트,유성구,대덕특구,송강근린공원,기타,#여름밤 #콘서트,2023-08-12,2023-08-12
447,연구개발특구진흥재단, 2023 창원국제스마트팩토리 및 생산제조기술전,"CECO, 한국무역협회, 한국산업지능화협회, 경남로봇산업협회, 첨단",과학벨트,CECO(창원컨벤션센터),"IT,기타",#스마트팩토리 #생산제조기술전,2023-10-17,2023-10-20
448,연구개발특구진흥재단, 2023 항노화바이오헬스산업체험박람회,㈜케이앤씨,과학벨트,CECO(창원컨벤션센터),"BT,기타",#항노화 #바이오헬스 #산업체험,2023-11-02,2023-11-04
449,연구개발특구진흥재단,제 15회 대통령배 아마추어 이스포츠 대회,"한국이스포츠협회, 전라북도, 군산시, 전북콘텐츠융합진흥원",과학벨트,군산새만금컨벤션센터,기타,#이스포츠 #대회,2023-08-19,2023-08-20
450,연구개발특구진흥재단,제10회 대한민국 SW융합 해커톤 대회,울산정보산업진흥원 포함 12개 SW융합클러스터 주관기관,과학벨트,울산전시컨벤션센터,"IT,기타",#SW융합 #해커톤,2023-08-25,2023-08-27
451,연구개발특구진흥재단,2023 국제 수소전기에너지 전시회,"울산매일UTV, JM COMPANY",과학벨트,울산전시컨벤션센터,"ET,기타",#수소전기에너지,2023-11-01,2023-11-03
452,연구개발특구진흥재단,리틀생명공학자,한국생명공학연구원,대덕특구,한국생명공학연구원 대전본원 본관동 1층 오픈랩(Open Lab),기타,#생명공학자,2023-08-17,2023-12-28
453,연구개발특구진흥재단,제9회 KoNECT International Conference,"국가임상시험지원재단, 보건복지부, 식품의약품안전처",대덕특구,여의도 콘래드 호텔,"BT,기타",#KoNECT,2023-10-10,2023-10-12
454,연구개발특구진흥재단,"2024년 전기 KRIBB 스쿨, UST 신입생 모집 및 입학설명회",한국생명공학연구원,대덕특구,한국생명공학연구원 대전본원 본관동 1층 대회의장,기타,#KRIBB,2023-08-30,2023-08-30
455,연구개발특구진흥재단,2023년 입자빔 활용 글로벌 선도연구 및 입자빔 이용자 워크샵,한국원자력연구원,대덕특구,"더케이호텔 경주 (스파월드 신관, 원화A)",기타,#입자빔 #글로벌 #활용,2023-08-31,2023-08-31
456,연구개발특구진흥재단,제47회 차세대 생명정보학 교육 워크샵,한국생명공학연구원 국가생명연구자원정보센터,대덕특구,한국생명공학연구원 KOBIC동 3층 교육실,"BT,기타",#차세대 #생명정보학 #교육,2023-08-24,2023-08-24
457,연구개발특구진흥재단,생화학분자생물학회 제 26회 연수강좌,생화학분자생물학회,대덕특구,서울성모병원 의생명산업연구원 대강당,"BT,기타",#생화학분자생물학회,2023-08-24,2023-08-25
458,연구개발특구진흥재단,제2회 UST 산학연전문가 네트워크 생명.바이오헬스 포럼,UST (과학기술연합대학원대학교),대덕특구,UST 기숙사 1층 컨퍼런스홀,"BT,기타",#생명 #바이오헬스,2023-08-29,2023-08-29
459,연구개발특구진흥재단,C&R imagineer : 헬스케어 데이터 산업의 현재와 미래,(주)C&R Research,대덕특구,SKY 컨벤션(롯데월드타워 31층),"BT,기타",#헬스케어 #데이터 산업,2023-09-07,2023-09-07
460,연구개발특구진흥재단,아태이론물리센터 X 국립중앙과학관  2023 올해의 과학도서 독후감 대회,"아태이론물리센터, 국립중앙과학관",대덕특구,국립중앙과학관,기타,#아태이론물리센터 #국립중앙과학관,2023-10-21,2023-10-21
461,연구개발특구진흥재단,민물고기 특별전『담수魚지교』연계 전시해설,국립중앙과학관,대덕특구,국립중앙과학관,기타,#민물고기 #전시해설,2023-08-15,2023-08-27
462,연구개발특구진흥재단,제5회 딥테크 혁신성장 포럼,연구개발특구진흥재단,대덕특구,D-SQUARE 973,기타,#딥테크 #혁신성장,2023-08-17,2023-08-17
463,연구개발특구진흥재단,제 72회 대덕이노폴리스 포럼,(사)대덕클럽,대덕특구,한국전자통신연구원 융합기술연구생산센터 강당,기타,#대덕이노폴리스,2023-08-17,2023-08-17
464,연구개발특구진흥재단,2023 대한민국 안전산업박람회,"킨텍스, 코트라, 동반성장위원회",대덕특구,킨텍스,기타,#안전산업박람회,2023-09-13,2023-09-15
465,연구개발특구진흥재단,H2 MEET 2023,"H2 MEET 조직위원회, 코트라, 킨텍스",대덕특구,킨텍스,"NT,기타",#MEET,2023-09-13,2023-09-15
466,연구개발특구진흥재단,2023 디지털미디어테크쇼,"경기도, 고양특례시",대덕특구,킨텍스,"IT,기타",#디지털미디어테크쇼,2023-11-02,2023-11-04
