순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
787,연구개발특구진흥재단 대구연구개발특구본부,제3회 가명정보 활용 세미나 ,대구디지털혁신진흥원,대구특구,대구디지털혁신진흥원 1F 태양홀,기타,#가명정보 #세미나,2023-11-22,2023-11-22
788,연구개발특구진흥재단 대구연구개발특구본부,[대구경북] 2023년 찾아가는 스마트시티 규제샌드박스 제도 설명회,대구광역시스마트시티지원센터,대구특구,대구상공회의소 중회의실 2,기타,#스마트시티 #규제샌드박스,2023-11-16,2023-11-16
789,연구개발특구진흥재단 대구연구개발특구본부,[대구경북] 2023년 4차 창업기업 제품 인증시험 애로 멘토링 토크쇼,대구경북지방중소벤처기업청,대구특구,AW호텔7층 카멜리아홀,기타,#창업기업 #인증시험,2023-11-29,2023-11-29
790,연구개발특구진흥재단 대구연구개발특구본부,[대구경북] 2023년 3차 R&D 입문 실전스쿨 및 멘토링 데이 ,대구경북창업보육협의회,대구특구,대구인터불고호텔 파크빌리지9번룸,기타,#R&D,2023-11-21,2023-11-21
791,연구개발특구진흥재단 대구연구개발특구본부,2023년 디지털 혁신 기술 컨퍼런스,대구디지털혁신진흥원,대구특구,대구디지털혁신진흥원 1F 태양홀,기타,#디지털 #혁신,2023-11-23,2023-11-23
792,연구개발특구진흥재단 대구연구개발특구본부,2023년 정보화 아카데미 사업 PM 육성 교육,대구디지털혁신진흥원,대구특구,DNEX 2층,기타,#정보화 #아카데미,2023-11-22,2023-11-23
793,연구개발특구진흥재단 대구연구개발특구본부,2023년도 유망 예비창업자 창업교육, 대구신용보증재단,대구특구, 대구신용보증재단,기타,#예비창업자,2023-11-27,2023-11-27
794,연구개발특구진흥재단,2023 아티언스 대전 결과보고전,대전문화재단,대덕특구,대전예술가의집,기타,#아티언스 #결과보고전,2023-11-02,2023-11-16
795,연구개발특구진흥재단,"ESC X FOSEP 공동 심포지엄: 국가 R&D 삭감, 붕괴하는 연구현장","ESC, FOSEP",대덕특구,모임 공간 상연재 별관 (시청역 3번 출구),기타,#ESC #X #FOSEP #공동 #심포지엄,2023-11-25,2023-11-25
796,연구개발특구진흥재단 대구연구개발특구본부,2023년 대구콘텐츠코리아랩 슈퍼세미나 시즌2 ,대구디지털혁신진흥원,대구특구,대구콘텐츠코리아랩 9F ,기타,#대구콘텐츠코리아랩 #슈퍼세미나,2023-11-28,2023-11-30
797,연구개발특구진흥재단 대구연구개발특구본부,제3회 대구콘텐츠산업 발전 협의체 전략포럼,대구디지털혁신진흥원,대구특구,대구콘텐츠코리아랩 1층,기타,#대구콘텐츠산업,2023-11-22,2023-11-22
798,연구개발특구진흥재단 대구연구개발특구본부,알파클래스 개최 안내: 바리스타가 알려주는 커피의 이해,대구디지털혁신진흥원,대구특구,댐퍼커피 수성알파시티점,기타,#알파클래스 #바리스타,2023-11-28,2023-11-28
799,연구개발특구진흥재단 대구연구개발특구본부,수성알파시티 파워풀 포럼: 트렌드코리아 공저자 특강,대구디지털혁신진흥원,대구특구,댐퍼커피 수성알파시티점,기타,#트렌드코리아,2023-11-29,2023-11-29
800,연구개발특구진흥재단 대구연구개발특구본부,박물관에서 만나는 보훈 뮤지컬 페스타,국립대구박물관,대구특구,해솔관 강당,기타,#보훈 #박물관,2023-11-25,2023-11-25
801,연구개발특구진흥재단,화학바이오환경 기술 아이디어 경진대회,안전성평가연구소,대덕특구,"온라인	","BT,기타",#화학 #바이오 #환경,2023-11-30,2023-11-30
802,연구개발특구진흥재단,2023년 지식서비스 융합 컨퍼런스,한국생산기술연구원,대덕특구,한국컨퍼런스센터 대강당,기타,#융합,2023-11-30,2023-11-30
803,한국기계연구원,바이오파운드리 핵심기기 및 장비 고도화 기술개발 다부처공동기획연구지원사업 공청회,한국기계연구원 ,대덕특구,서울역공간모아 10층홀 ,기타,#바이오파운드리 #핵심기기,2023-11-30,2023-11-30
804,연구개발특구진흥재단,2023 사슬 블록체인 컨퍼런스,㈜서울랩스,대덕특구,코엑스,기타,#컨퍼런스,2023-11-24,2023-11-24
805,연구개발특구진흥재단,2023년 조선·해운·항만 디지털전환 국제 컨퍼런스,"울산정보산업진흥원, 울산항만공사, 한국조선해양플랜트협회",과학벨트,UECO,기타,#디지털전환,2023-11-30,2023-11-30
